Dataset Size,Known Datasets,Training Size,Eval Size,F1,P-value,TPR,FPR,AUC,Chunk-level AUC,Seed
200,1000,2000,2000,61.58535000830434,-17.215320501746444,99.9,67.9,0.5724910000000001,0.49192507360355814,670487
200,1000,2000,2000,78.02996462928428,-9.987788635049414,98.8,41.0,0.786497,0.5021917214875805,116739
200,1000,2000,2000,33.33333333333333,inf,0.0,0.0,0.14824000000000004,0.49204822629765954,26225
200,1000,2000,2000,80.97576827046083,-13.187796880405637,98.1,35.099999999999994,0.8593280000000001,0.5108332246145315,777572
200,1000,2000,2000,73.32965103663228,-4.982675347902186,96.89999999999999,47.599999999999994,0.7976129999999999,0.5074998008370667,288389
200,900,2000,2000,66.32791594874679,-14.76227776718795,99.9,61.0,0.606675,0.491738926300896,670487
200,900,2000,2000,76.35177030070743,-9.584232482982902,99.0,44.1,0.779015,0.5005008392989128,116739
200,900,2000,2000,33.33333333333333,inf,0.0,0.0,0.160483,0.49395258513198653,26225
200,900,2000,2000,80.2404288604873,-23.695975958395312,99.9,38.0,0.846385,0.5078546909346353,777572
200,900,2000,2000,74.3878793344456,-3.832290357917853,92.4,42.1,0.8007879999999999,0.5051238334415672,288389
200,800,2000,2000,69.3187486067861,-13.077605613257697,99.9,56.39999999999999,0.63519,0.4945633937848851,670487
200,800,2000,2000,76.82891667321958,-8.900893092167186,99.4,43.6,0.767951,0.4969804321753745,116739
200,800,2000,2000,33.33333333333333,inf,0.0,0.0,0.18028300000000003,0.4929850521444241,26225
200,800,2000,2000,82.57857179748284,-20.21754544140363,99.5,33.4,0.860569,0.5096491217636075,777572
200,800,2000,2000,77.55123056327875,-4.018633507850146,95.19999999999999,38.800000000000004,0.833345,0.5056580130737641,288389
200,700,2000,2000,69.7982957609751,-11.602188511569443,99.0,55.00000000000001,0.6553680000000001,0.49357219086668486,670487
200,700,2000,2000,74.62687824270603,-7.972703204170712,98.3,46.5,0.7513529999999999,0.4987618439752111,116739
200,700,2000,2000,33.42201520907484,-2.913393374011027,99.9,99.9,0.177929,0.49442401545285214,26225
200,700,2000,2000,79.66594045025418,-19.88645395864506,99.4,38.6,0.8283750000000001,0.5090343680407254,777572
200,700,2000,2000,76.51943200035352,-5.786713467920255,98.5,43.4,0.823628,0.5072738055526922,288389
200,600,2000,2000,68.57505701845325,-9.931464166784332,98.1,56.3,0.6544279999999999,0.4965253028798997,670487
200,600,2000,2000,73.98244742507039,-8.813643697249768,99.2,48.3,0.744832,0.49743104608580224,116739
200,600,2000,2000,33.33333333333333,inf,0.0,0.0,0.179252,0.49370254284977433,26225
200,600,2000,2000,78.05915221293776,-17.642699549123652,99.1,41.199999999999996,0.7958209999999999,0.5064012263424091,777572
200,600,2000,2000,77.81951264742297,-6.191884287342522,98.0,40.699999999999996,0.8348119999999999,0.5078339552027445,288389
200,500,2000,2000,69.82893759207005,-9.473142881836544,98.1,54.300000000000004,0.649345,0.49604820914291625,670487
200,500,2000,2000,74.02597402597402,-6.280268549429766,98.4,47.599999999999994,0.7493110000000001,0.4966561941954337,116739
200,500,2000,2000,33.33333333333333,inf,0.0,0.0,0.160365,0.49386783041924853,26225
200,500,2000,2000,77.54719266806187,-17.695712227583765,99.1,42.1,0.8082009999999998,0.5088159400394956,777572
200,500,2000,2000,79.30348258706469,-6.089043282426285,96.1,36.4,0.843884,0.5088108783500433,288389
200,400,2000,2000,66.3075646662539,-10.156797946805703,99.4,60.699999999999996,0.634624,0.49658586505058366,670487
200,400,2000,2000,72.2219551256369,-6.69251943312555,99.3,51.300000000000004,0.742489,0.49694568995972377,116739
200,400,2000,2000,33.42201520907484,-4.030447065285508,99.9,99.9,0.171263,0.49603825216222214,26225
200,400,2000,2000,78.3423348004319,-15.441220080709549,99.1,40.699999999999996,0.805365,0.5085885868994681,777572
200,400,2000,2000,77.62962813019763,-6.260211957950048,97.6,40.699999999999996,0.8298180000000002,0.5068631080105614,288389
200,300,2000,2000,67.9904513888889,-6.074132209872952,98.5,57.49999999999999,0.647528,0.49568172282236067,670487
200,300,2000,2000,71.65556243633469,-4.750133829497252,97.8,51.1,0.722599,0.4972851211383399,116739
200,300,2000,2000,33.33333333333333,inf,0.0,0.0,0.17737500000000003,0.4975371412670918,26225
200,300,2000,2000,78.39886674729355,-16.27756179249395,99.1,40.6,0.8127810000000001,0.5081488635048615,777572
200,300,2000,2000,80.09026434558348,-7.329794611241435,98.2,36.8,0.8456920000000001,0.5067647466268581,288389
200,200,2000,2000,70.07666036119898,-7.201600973847939,99.2,54.7,0.67678,0.49419482606806225,670487
200,200,2000,2000,72.74737534115584,-4.908890530925244,98.6,49.9,0.740713,0.49748734261098065,116739
200,200,2000,2000,33.33333333333333,inf,0.0,0.0,0.20225500000000002,0.4972404519584961,26225
200,200,2000,2000,77.89828069183523,-12.97356067770236,95.0,38.0,0.795545,0.509146797048265,777572
200,200,2000,2000,79.2133166491043,-4.794340604999518,96.6,37.0,0.852967,0.5059464967664717,288389
200,100,2000,2000,70.50798777941591,-0.13000491171218032,99.6,54.300000000000004,0.669882,0.4937194718630067,670487
200,100,2000,2000,75.2933000686531,-5.9792986780118005,98.6,45.6,0.78082,0.49734556734612684,116739
200,100,2000,2000,33.8592843045436,-2.5183881847349405,99.4,99.4,0.198377,0.4962940550326218,26225
200,100,2000,2000,68.05259932920538,-7.075705693512123,59.5,22.900000000000002,0.677886,0.5082480408652155,777572
200,100,2000,2000,77.69268330292206,-5.77815845020766,94.8,38.2,0.8439659999999999,0.5073362204906138,288389
200,90,2000,2000,71.17916656268089,-4.857457948754618,99.3,53.0,0.6733169999999999,0.49380437144247535,670487
200,90,2000,2000,74.68526260371246,-5.0286091636921935,97.3,45.6,0.785376,0.49785664549704006,116739
200,90,2000,2000,33.33333333333333,inf,0.0,0.0,0.185594,0.49579829454169905,26225
200,90,2000,2000,56.3954955837478,-6.35717012370114,31.1,11.0,0.545656,0.5084490399112267,777572
200,90,2000,2000,78.15369903216765,-4.8969718499836015,96.0,38.4,0.842174,0.5065611935635257,288389
200,80,2000,2000,73.72993901592987,-4.161290096252386,98.4,48.1,0.6971130000000001,0.49406491467976843,670487
200,80,2000,2000,76.73323719527762,-4.061940467326145,97.5,42.199999999999996,0.7813280000000001,0.49791341480924767,116739
200,80,2000,2000,33.33333333333333,inf,0.0,0.0,0.203071,0.4957984806209858,26225
200,80,2000,2000,59.10502678886298,-5.579278599096155,37.3,14.299999999999999,0.567871,0.5075657182430606,777572
200,80,2000,2000,78.54899256875815,-2.9484627969242236,93.5,35.5,0.840265,0.506651622138828,288389
200,70,2000,2000,72.00827785737256,-3.5790658240390525,99.1,51.5,0.6881659999999999,0.49427848264340046,670487
200,70,2000,2000,71.8479821470555,-4.668606418242078,84.2,39.7,0.7358549999999999,0.498036277496598,116739
200,70,2000,2000,33.33333333333333,inf,0.0,0.0,0.208018,0.49611981091163065,26225
200,70,2000,2000,58.53126435099307,-4.946229634974997,37.0,15.2,0.560079,0.5075098936805125,777572
200,70,2000,2000,78.57010159159393,-3.7050656986436983,95.6,37.3,0.8479110000000001,0.506945987118121,288389
200,60,2000,2000,71.48940671587009,-3.070879784995891,98.1,51.6,0.6679010000000001,0.49439754347399234,670487
200,60,2000,2000,70.90876990241397,-3.981154022160244,76.6,34.599999999999994,0.715076,0.4978286874173762,116739
200,60,2000,2000,33.51028462917356,-3.76878183394323,99.8,99.8,0.183948,0.49640492863683666,26225
200,60,2000,2000,62.08780878960396,-4.094165285148748,44.2,17.2,0.585678,0.5069100636186683,777572
200,60,2000,2000,77.71759445813666,-3.344192685379036,98.5,41.3,0.838148,0.5064741362962588,288389
200,50,2000,2000,70.67526501492105,-2.0664152641395304,98.6,53.300000000000004,0.6707829999999999,0.4942668154128942,670487
200,50,2000,2000,69.58783513405362,-3.2409577169337616,67.60000000000001,28.4,0.689175,0.49767730719878905,116739
200,50,2000,2000,33.33333333333333,inf,0.0,0.0,0.231865,0.49593930591696267,26225
200,50,2000,2000,46.04668971835352,-3.4656991621127595,14.2,4.1000000000000005,0.415349,0.5069970937985613,777572
200,50,2000,2000,77.15293350966974,-0.6478520857416649,92.4,37.1,0.833344,0.5063456042476868,288389
200,40,2000,2000,71.88582872388069,-2.161740156428787,98.7,51.4,0.679037,0.49484319230576757,670487
200,40,2000,2000,73.61864960912659,-2.1273779889100766,91.0,42.3,0.749227,0.497151291761172,116739
200,40,2000,2000,33.33333333333333,inf,0.0,0.0,0.22891099999999998,0.49545377810475244,26225
200,40,2000,2000,33.59814393531928,-10.241215729886312,99.7,99.7,0.27445200000000003,0.5074574318601406,777572
200,40,2000,2000,77.00168505877012,-0.9096129160875248,99.4,43.3,0.828605,0.5062672688704513,288389
200,30,2000,2000,70.71218210514326,-1.352817088844517,97.6,52.5,0.680085,0.4952465693881065,670487
200,30,2000,2000,75.32275647933827,-1.7741996110351796,96.2,43.6,0.7749379999999999,0.4968415118962971,116739
200,30,2000,2000,36.69027870622472,4.39678114472428,3.9,3.2,0.39190600000000003,0.4954108867830771,26225
200,30,2000,2000,35.08005708791774,-7.596576052191325,98.2,98.0,0.258214,0.507587518377694,777572
